,Ürün Adı,Fiyat,Uzunluk,Genişlik,Hücre Tipi,Nominal Güç,Panel Tipi,Ürün Kodu
0,Enjoy solar Mono Classic,"129,–",148 cm,Width67 cm,Monocrystalline,200 W,Solar panel,23539961
1,Solar panels,,,,,,,
2,EcoFlow Solar Panel,"539,09",172.20 cm,Width113.40 cm,Monocrystalline,400 W,Solar panel,23507848
3,Enjoy solar Solarmodul,"259,67",142 cm,Width71 cm,Monocrystalline,200 W,Solar panel,23539973
4,Goal Zero Venture 35 + Nomad 10 Kit,"129,–",Monocrystalline,Nominal power18 W,Solar panel,17550552,,Returns
5,Enjoy solar Mono,"104,64",134.50 cm,Width58 cm,Monocrystalline,150 W,Solar panel,23539955
6,Enjoy solar Mono Classic,"84,–",119 cm,Width54 cm,Monocrystalline,100 W,Solar panel,23539948
7,Enjoy solar Perc 10BB,"147,51",131 cm,Width76.50 cm,Monocrystalline,200 W,Solar panel,23994677
8,EcoFlow Solar panel,"219,–",158 cm,Width51.40 cm,Monocrystalline,110 W,Solar panel,14490225
9,Enjoy solar Solarmodul,"172,39",111 cm,Width71 cm,Monocrystalline,150 W,Solar panel,23539970
10,Enjoy solar Solarmodul,"133,08",108 cm,Width54 cm,Monocrystalline,110 W,Solar panel,23539971
11,Enjoy solar Mono Classic,"104,64",148 cm,Width67 cm,Monocrystalline,180 W,Solar panel,23539960
12,Enjoy solar Solar module,"76,19",119 cm,Width54 cm,Monocrystalline,100 W,Solar panel,20970016
13,RealPower Solar Panel RealPower SP-30E 30 Watt 4 Panel,"87,66",3.50 cm,Width19.50 cm,30 W,23949112,,Returns
14,EcoFlow 100W Solar Panel,"115,–",105.50 cm,Width61.20 cm,Monocrystalline,100 W,Solar panel,22906872
15,Technaxx Balcony Power Station TX-212 300W,"448,90",103.80 cm,Width155.50 cm,Monocrystalline,325 W,23176916,
16,Enjoy solar Mono Classic,"102,30",148 cm,Width67 cm,Monocrystalline,170 W,Solar panel,23539952
17,EZVIZ Solar Panel-D,"33,86",400 cm,Width15.59 cm,Monocrystalline,4.20 W,19871683,
18,Luxen Monocrystalline solar module 370W/36V (pallet),"2969,–",175.60 cm,Width103.90 cm,Monocrystalline,370 W,37667710,
19,Luxen Monocrystalline solar module 410W/36V (pallet),"3159,–",172.20 cm,Width113.40 cm,Monocrystalline,410 W,37667717,
20,Nitecore FSP100W Solar Panel,"349,95",22460745,Show more,All Suppliers,Returns,100-day right of return,Show more
21,Enjoy solar Gaia Max,"691,95",92.50 cm,Width58 cm,Monocrystalline,440 W,Solar panel,23539972
22,Rs Pro 10w RS Solar Panel Bulk Pack (5 Panels),"438,–",60 W,Solar panel typeSolar panel,9954924,,Returns,100-day right of return
23,Enjoy solar Sunpower Ultra-Efficiency Monocrystalline Solar Panel 60W/12V,"134,95",62.50 cm,Width54 cm,Monocrystalline,60 W,23539957,
24,4smarts Panel Volt Solar,"99,48",5 cm,Width17 cm,Monocrystalline,21 W,35817753,
25,Offgridtec PCB-ETFE 200W 39V Semi-Flexible Solar Panel,"314,37",Monocrystalline,Item number33530291,,Returns,30-day right of return,Show more
26,Enjoy solar Sunpower,"228,88",107 cm,Width54 cm,Monocrystalline,120 W,Solar panel,23539956
27,Enjoy solar Monocrystalline solar module 150W/36V,"126,80",134.50 cm,Width58 cm,Monocrystalline,150 W,24212368,
28,Bluetti PV420 Solar Panel 420W,"812,14",97.50 cm,Width267.50 cm,Monocrystalline,420 W,Solar panel,36622878
29,Bluetti PV120s,"221,35",174.90 cm,Item number37195465,,Returns,100-day right of return,Show more
30,Enjoy solar Solar module,"152,96",148 cm,Width67 cm,Monocrystalline,200 W,Solar panel,24212361
31,EcoFlow 30 x 400W Rigid Solar Panel Combo,"7669,–",98 cm,Width58.60 cm,Monocrystalline,400 W,Solar panel,32645018
32,Rs Pro 5w RS Solar Panel Bulk Pack (5 Panels),"214,99",30.60 cm,Width21.80 cm,Polycrystalline,30 W,Solar panel,9905931
33,Vaillant varmepumpe aroTHERM plus VWL 55/6 A 230V S2 5kW,"6279,–",36681106,Show more,Returns,100-day right of return,Show more,
34,Rs Pro 20w Flexi Solar Panel,"240,89",20 W,Item number10046531,,Returns,100-day right of return,Show more
35,Rs Pro 5w Flexi Solar Panel,"159,27",25 cm,Width24 cm,5 W,Solar panel,9954863,
36,Offgridtec ® FSP-Max 400W 36V Foldable Solar Panel Solar Case,"670,98",33530311,Show more,Returns,30-day right of return,Show more,
37,Offgridtec ® FSP-2 195W Ultra Foldable Solar Panel,"425,14",33530305,Show more,Returns,30-day right of return,Show more,
